Changed?,String,String_en,Location,Notes,
,Start,[25b6-border],Intro Message,Button (start the game),
,Play,[25b6-border],Title Screen,Button (play button on main menu),
,Challenges,[1f3c6-border][2197-border],Character Selection,Button,
,Credits,[1f3ae-border][1f477-border][1f477-border][1f477-border],Last minute strings,,
,Quit,[1f6aa-border],Title Screen,,
,Title,[25c0-border],Character Selection,Button,
,Final Floor,[23ed-border][1f6d7-border],Map Screen,Shown when you are on the last floor,
,Floor,[1f6d7-border],Map Screen,Shown in the context of Floor 1 or Floor 2,
,Level,[1f4aa-border],Map Screen,Shown in the context of Level 1 or Level 2,
,Lvl,[1f4aa-border],Map Screen,Short version of Level for some situations - at the start of a sentence,
,lvl,[1f4aa-border],Map Screen,Short version of Level for some situations,
,At max level,[2b06-border][1f4aa-border],Map Screen,Shown in the character stats when you are at max level,
,Equipment,[1f6e0-border],Map Screen,Button (open your equipment menu),
,Back,[25c0-border],Map Screen,Button (go back to the last screen),
,BOSS,[1f451][yellow],Map Screen,Shown if you mouse over a boss enemy,
,Level up in [star][],[2795-border][1f4aa-border][star-border],Map Screen,Shows how many stars till next level. Number of stars needed is displayed to the right of this string e.g. Level up in [star][] 6,
,EQUIPPED,[1f590-border],Inventory Screen,Shows the items you have equipped,
,IN BACKPACK,[1f392-border],Inventory Screen,Shows the items that are in your backpack,
,TURN,[231b-border],Combat,Shown in the top left of combat - turn counter e.g. TURN 4,
,FLEE IN,[1f3c3-border][25c0-border],Combat,Shown in the top left of combat -e.g. FLEE IN 5 TURNS or FLEE IN 1 TURN,
,TURNS,[231b-border],Combat,Shown in the top left of combat -e.g. FLEE IN 5 TURNS,
,EVEN,[2757-border][32-20e3-border][34-20e3-border][36-20e3-border],Combat,Dice placed here must be EVEN (2-4-6),
,ODD,[2757-border][31-20e3-border][33-20e3-border][35-20e3-border],Combat,Dice placed here must be ODD (1-3-5),
,MAX,[2757-border][dice-border][2935-border],Combat,Dice placed here must not be more than this value (e.g. max 5),
,MIN,[2757-border][dice-border][2934-border],Combat,Dice placed here must not be less than this value (e.g. min 3),
,max,[2757-border][dice-border][2935-border],Combat,Dice placed here must not be more than this value (e.g. max 5),
,min,[2757-border][dice-border][2934-border],Combat,Dice placed here must not be less than this value (e.g. min 3),
,NEEDS DOUBLES,[2757-border][1f9e6-border],Combat,Need to place two matching dice in these slots,
,NEEDS 1,[2757-border][31-20e3-border],Combat,Need to place this number in the slot,
,NEEDS 2,[2757-border][32-20e3-border],Combat,Need to place this number in the slot,
,NEEDS 3,[2757-border][33-20e3-border],Combat,Need to place this number in the slot,
,NEEDS 4,[2757-border][34-20e3-border],Combat,Need to place this number in the slot,
,NEEDS 5,[2757-border][35-20e3-border],Combat,Need to place this number in the slot,
,NEEDS 6,[2757-border][36-20e3-border],Combat,Need to place this number in the slot,
,MUST EQUAL 2,[2757-border][1f522-border][2795-border][1f522-border][32-20e3-border],Combat,These two dice need to total this number,
,MUST EQUAL 3,[2757-border][1f522-border][2795-border][1f522-border][33-20e3-border],Combat,These two dice need to total this number,
,MUST EQUAL 4,[2757-border][1f522-border][2795-border][1f522-border][34-20e3-border],Combat,These two dice need to total this number,
,MUST EQUAL 5,[2757-border][1f522-border][2795-border][1f522-border][35-20e3-border],Combat,These two dice need to total this number,
,MUST EQUAL 6,[2757-border][1f522-border][2795-border][1f522-border][36-20e3-border],Combat,These two dice need to total this number,
,MUST EQUAL 7,[2757-border][1f522-border][2795-border][1f522-border][37-20e3-border],Combat,These two dice need to total this number,
,MUST EQUAL 8,[2757-border][1f522-border][2795-border][1f522-border][38-20e3-border],Combat,These two dice need to total this number,
,MUST EQUAL 9,[2757-border][1f522-border][2795-border][1f522-border][39-20e3-border],Combat,These two dice need to total this number,
,MUST EQUAL 10,[2757-border][1f522-border][2795-border][1f522-border][31-20e3-border][30-20e3-border],Combat,These two dice need to total this number,
,MUST EQUAL 11,[2757-border][1f522-border][2795-border][1f522-border][31-20e3-border][31-20e3-border],Combat,These two dice need to total this number,
,MUST EQUAL 12,[2757-border][1f522-border][2795-border][1f522-border][31-20e3-border][32-20e3-border],Combat,These two dice need to total this number,
,Place a dice,[dice-border][27a1-border][26d4-border][shock-border],Combat,,
