Changed,Name,Name_en,Notes,
,Warrior,⚔🧑,Player character,
,Thief,💰🧑,Player character,
,Inventor,🎛🧑,Player character,
,Witch,🧙‍♀,Player character,
,Robot,🤖,Player character,
,Jester,🃏🧑,Player character,
,Magician,🪄,Think a street magician or the sort of magician who might perform at childrens parties,
,Space Marine,👨‍🚀,Big army guy in a space suit with a plasma cannon,
,Vacuum,💨🗑️,A vacuum cleaner,
,Gardener,👨‍🌾,A rabbit with a shovel,
,Hothead,🥵️🙆,A fireball with legs and a face. Looks like a biker.,
,Robobot,🔫🤖,Like a 50s robot,
,Slime,🍦,Like an ice cream cone – but instead of ice cream contains slime,
,Frog,🐸,A tiny frog with a very big sword,
,Wolf Puppy,🧒🐺,A baby wolf,
,Dryad,🌳,A dyrad of greek legend,
,Baby Squid,👶🦑,A baby squid,
,Sticky Hands,🪀🖐️,A kid on a skateboard with an extendable glove that steals items from you,
,Bully,🪨🧑,A big mean guy who throws rocks at you,
,Alchemist,👩‍🔬,A female chemist – can use a potion that transforms into a bear,
,Copycat,🪞🧑,Looks like a big mirror wearing a cloak – copies your moves,
,Marshmallow,🏕️🍬,A marshmallow on fire,
,Mimic,🧰😈,A monster hiding in a treasure chest,
,Sorceress,🧹🧙‍♀,A witch on a broomstrick - distractedly reading her phone,
,Stereohead,📻🙆,A man in a suit with a stereo for a head,
,Wizard,🧙‍♂️,A wizard,
,Keymaster,🔑🧑,A thin man decorated with dozens of keys over his hands and face,
,Sneezy,🤧🦔,A hedgehog with a cold – when it sneezes it's spines fly out and attack you,
,Dire Wolf,🐺,The older parent of the baby wolf from before,
,Handyman,👨‍🔧,A handyman. Has six hands and lots of tools,
,Fireman,[fire]🧑,LITERALLY A MAN MADE OUT OF FIRE - Not a firefighter,
,Kraken,🦑,The older parent of the baby squid from before,
,Snowman,⛄,A handsome man made out of snow,
,Rat King,🤴🐀,A giant rat with a crown and lots of little rats around it.,
,Loud Bird,📢🐦,A big bird like a pelican - it's wearing headphones,
,Haunted Jar,[haunted]⚱,A small angry pot dancing around on the floor. It's filled with poison and curses,
,Banshee,😱👻,A creature from Irish mythology - spooky old woman a bit like the girl from The Ring but older,
,Crystalina,💎,A magical creature made out of crystals,
,Cornelius,🖤,A scary shadowy figure from my own childhood. A bit like slenderman,
,Paper Knight,📦🧒,A small girl wearing a sword and shield and armour made from cardboard,
,Skeleton,💀,A skeleton with a very big sword,
,Wicker Man,🧺🧑,A man made out of twigs,
,Yeti,🏔️🧑,A mythological creature that lives in snowy mountains,
,Madison,👧,Previously girl scout – a tiny American girl who sells cookies to raise money for charity,
,Scathach,🪖👩,A powerful warrior from Irish mythology. Looks like a young amoured female soldier,
,Rose,🌹,A rose like the flower with a sword and shield,
,Warlock,⚫🧙‍♂️,An old man in a cloak who casts occult spells,
,Wisp,👻,A small glowing ghost figure made out of fire,
,Aoife,⚔️👩,Scathach's sister in Irish mythology. Aoife is a relatively common Irish first name pronounced Eee-Fa - rhymes with Tifa,
,Lady Luck,👩🍀,A goddess of chance and fortune – greek mythology calls her Tyche – Roman mythology calls her Fortuna. She is the presenter of the Dicey Dungeons gameshow.,
,Cactus,🌵,A worried looking cactus plant – holding a spear and a small shield,
,Pirate,🏴‍☠,A very large pirate with a ginger beard,
,Bounty Hunter,🧐👽,A green space alien wearing a monocle and leaning against a futuristic motorcycle,
,Aurora,🌦️,A weather goddess surrounded by clouds and storms. Named for Roman god of dawn,
,Rhino Beetle,🦏🪲,A tough looking beetle with a big axe,
,Cowboy,🤠,A cat dressed up in cowboy gear,
,Gargoyle,🪨😈,Gargoyle made of stone,
,Singer,👩‍🎤,A singer performing on Piano,
,Drain Monster,🕳️😈,A slimy monster that maybe lives in a drain or sewer,
,Audrey,🏋‍♀,A super strong heavy female weight lifter,
,Drake,🧛‍♂,Vampire!,
,Buster,🐲,Huge fire breathing lizard,
,Beatrice,👸🐝,Final name for Queen Bee,
,Rotten Apple,🪱🍎,Looks like an apple on the map but is an enemy with a worm in it,
,Yolanda,🛒🧝‍♀,Name of the shopkeeper imp,
,Ned,🔨🧝‍♂️,Name of the blacksmith imp,
,Val,🤝🧝‍♀,Name of the trader imp,
,Warrior?,⚔🧑❓,Parallel Universe,
,Thief?,💰🧑❓,Parallel Universe,
,Inventor?,🎛️🧑❓,Parallel Universe,
,Witch?,🧙‍♀❓,Parallel Universe,
,Robot?,🤖❓,Parallel Universe,
,Jester?,🃏🧑❓,Parallel Universe,
,Pumpkin Spice,🎃,New Halloween enemy - slender scary creature with a pumpkin head,
,Mummy,🧻🧑,New Halloween enemy - wrapped in bandages,
,Demon,👹,New Halloween enemy - a red demon with horns - looks a bit like an american frat boy,
,Pumpkin Spice[],🎃,Bestiary Version,
,Mummy[],🧻🧑,Bestiary Version,
,Demon[],👹,Bestiary Version,
,Frogurt,🐸🍦,From frogurt mod
