Changed?,Name,Description,Name_en,Description_en,
,Inventor Gadgets,(special),[1f39b-border][1f9d1-border][1f39b-border],[2753][2753][2753],
,Robot Calculate,(special),[1f916-border][1f5a5-border],[2753][2753][2753],
,Robot Request,(special),[1f916-border][dice-border],[2753][2753][2753],
,Thief Stolen Card,(special),[1f4b0-border][1f9d1-border][1f9b8-border],[2753][2753][2753],
,Witch Spellbook,(special),[1f9d9-200D-2640-FE0F-border][1f4d3-border],[2753][2753][2753],
,Witch Deck,(special),[1f9d9-200D-2640-FE0F-border][1f5c3-border],[2753][2753][2753],
,Jester Deck,(special),[1f0cf-border][1f9d1-border][1f5c3-border],[2753][2753][2753],
,Combat Roll,Reroll a dice|[gray](Reuseable),[2694-border][1f504-border],[1f504][dice]|,
,Shield Bash,Bash with shield[;]|do [shield]<myshield> damage,[shield-border][1f44a-border],[shield][1f44a]|[1f4e4][shield]<myshield>[1f915],
,Sword,Do [sword]<d6> damage,[sword-border],[1f4e4][sword]<d6>[1f915],
,Broadsword,Do [sword]<d6> damage,[2b06-border][sword-border],[1f4e4][sword]<d6>[1f915],
,Two Handed Sword,Do [sword]<d6> damage,[sword-border][sword-border],[1f4e4][sword]<d6>[1f915],
,Two Handed Sword_upgraded,Do [sword]<d6> damage[;]|on 12[;] lock [lock]1 dice,Two Handed Sword_upgraded,[1f4e4][sword]<d6>[1f915]|[31-20E3][32-20E3][27a1][lock][31-20E3][dice],
,Four Handed Sword,Do [sword]<d6> damage,[sword-border][sword-border][sword-border][sword-border],[1f4e4][sword]<d6>[1f915],
,Four Handed Sword_upgraded,Do [sword]<d6> damage[;]|on 24[;] lock [lock]2 dice,Four Handed Sword_upgraded,[1f4e4][sword]<d6>[1f915]|[32-20E3][34-20E3][27a1][lock][32-20E3][dice],
,Plasma Blaster,Do [sword]<d6> damage,[2b06-border][1f52b-border],[1f4e4][sword]<d6>[1f915],
,Short Sword,Do [sword]<d6> damage,[2b07-border][sword-border],[1f4e4][sword]<d6>[1f915],
,Wooden Shield,Add [shield]<d6> shield,[1fab5-border][shield-border],[2795][shield]<d6>,
,Small Shield,Add [shield]<d6> shield,[2b07-border][shield-border],[2795][shield]<d6>,
,Iron Shield,Add [shield]<d6> shield,[shield-border],[2795][shield]<d6>,
,Tower Shield,Add [shield]<d6> shield|[gray](Reuseable),[1f3f0-border][shield-border],[2795][shield]<d6>|,
,Tower Shield_downgraded,Add [shield]<d6> shield,Tower Shield_downgraded,[2795][shield]<d6>,
,Divine Rod,Reduce health to [heart]1,[1f607-border][1f9af-border],[heart][25b6][31-20E3],
,Divine Rod_downgraded,Reduce health in half,Divine Rod_downgraded,[heart][2797][32-20E3],
,Snowball,Do [ice]<d6> damage|Freeze [ice]1 dice,[1f328-border][26aa-border],[1f4e4][ice]<d6>[1f915]|[ice][31-20E3][dice],
,Snowball_downgraded,Do [sword]<d6> damage,Snowball_downgraded,[1f4e4][sword]<d6>[1f915],
,Freeze Spell,Deal [ice]5 damage|Freeze [ice]2 dice,[1f9ca-border][1fa84-border],[1f4e4][ice][35-20E3][1f915]|[ice][32-20E3][dice],
,Freeze Spell_downgraded,Deal [ice]5 damage|Freeze [ice]1 dice,Freeze Spell_downgraded,[1f4e4][ice][35-20E3][1f915]|[ice][31-20E3][dice],
,Freeze Spell_upgraded,Deal [ice]5 damage|Freeze [ice]ALL dice,Freeze Spell_upgraded,[1f4e4][ice][35-20E3][1f915]|[ice][267e][dice],
,Flame Spell,Deal [fire]5 damage|Burn [fire]2 dice,[fire-border][1fa84-border],[1f4e4][fire][35-20E3][1f915]|[fire][32-20E3][dice],
,Flame Spell_upgraded,Deal [fire]6 damage|Burn [fire]ALL dice,Flame Spell_upgraded,[1f4e4][fire][36-20E3][1f915]|[fire][267e][dice],
,Flame Spell_downgraded,Deal [sword]5 damage,Flame Spell_downgraded,[1f4e4][sword][35-20E3][1f915],
,Fireball,Deal [fire]<d6> damage|Burn [fire]1 dice,[fire-border][1f4a5-border],[1f4e4][fire]<d6>[1f915]|[fire][31-20E3][dice],
,Fireball_upgraded,Deal [fire]<d6> damage|Burn [fire]2 dice,Fireball_upgraded,[1f4e4][fire]<d6>[1f915]|[fire][32-20E3][dice],
,Fireball_downgraded,Deal [sword]<d6> damage,Fireball_downgraded,[1f4e4][sword]<d6>[1f915],
,Backfire,Lose [heart]5 health,[21aa-border][1f52b-border],[2796][heart][35-20E3],
,Backfire_downgraded,Lose [heart]15 health,Backfire_downgraded,[2796][heart][31-20E3][35-20E3],
,Backfire_weakened,Lose [heart]15 health,Backfire_weakened,[2796][heart][31-20E3][35-20E3],
,Backfire_upgraded,Lose [heart]10 health,Backfire_upgraded,[2796][heart][31-20E3][30-20E3],
,Poison Spell,Inflict [poison]4 poison,[poison-border][1fa84-border],[1f4e4][poison][34-20E3],
,Poison Spell_upgraded,Inflict [poison]5 poison,Poison Spell_upgraded,[1f4e4][poison][35-20E3],
,Toxic Ooze,Do [sword]<d6> damage[;]|on 6[;] add [poison]2 poison,[2623-border][1f6e2-border],[1f4e4][sword]<d6>[1f915]|[36-20E3][27a1][2795][poison][32-20E3],
,Toxic Ooze_downgraded,Do [sword]<d6> damage[;]|on 6[;] add [poison]1 poison,Toxic Ooze_downgraded,[1f4e4][sword]<d6>[1f915]|[36-20E3][27a1][2795][poison][31-20E3],
