Name,Translation,Description
Absolute Zero,⬆️🥶,Do [ice]25 damage[;]|freeze all dice
Action!,🎬,Keep a <d6> for next turn|[gray](Reuseable)
Air Conditioner,🌬🪛,[ice]<timesused> dmg[;] inflict [ice]1 freeze|Add +[ice]1 each use
Air Crystal,🌬️💎,Do [shock]<d6> damage[;]|[]+[shock]1 shock
Allen Key,🪛🔑,Combine dice
Antidote,💊,Cure [poison]<slotdoubles> poison
Apocalypse,☠️,Do [sword]30 damage[;]|inflict [curse]99 curses
Arf Arf Arf,🐕🐕🐕,Gain [fury]Fury at the start|of your next turn
Avalanche,🏂,Do [sword]3 damage[;]|reroll with lower value
Backfire,↪🔫,Lose [heart]5 health
Backstab,🚶🗡,Do [sword]<equipmentuse> damage. Add [sword]1|on each item use.
Bandage,⬆️🩹,Heal [heal]1 health|[gray](Reuseable)
Bandage Whip,⬆🩹💣,Do [sword]5 damage[;]|inflict [confuse]Confuse
Bass Drop,🎸,Inflict [weaken]1 weaken to|both fighters
Battering Ram,🐏,Do 2x[shield]<myshield> damage[;]|but depletes your shield
Battle Axe,⚔🪓,Do [sword]<double> damage
Battle Cry,⚔️🗣️,Inflict [weaken]5 weaken|[gray](once per battle)
Bear Charge,🐻🏃,Repeat next action
Bear Hug,🐻🫂,Do [sword]<double> damage[;]|lose a dice
Bear Maul,🐻🖐,Do [sword]<d6> damage
Bear Potion,🐻🧪,Transform into a bear[;]|recover [heal]12 health
Bear Roar,🐻🗣️,Weaken [weaken]3 equipment
Bear Swipe,🐻⚔️,Do [sword]<d6> damage[;]|return the dice
Bear Trap,🐻🪤,Lock [lock]1 dice
Bearpick,🐻📎[lock],Shred a big dice into|other[;] smaller dice
Bee Sting,🐝📌,Do [shock]4 damage[;]|Inflict [shock]1 shock
Beetle Headbutt,🪲🙆👊,Do [sword]5 damage[;]|Lock [lock]1 dice
Befuddle,🥴,Duplicate one dice[;]|return the other
Benchmark,⏱️🖥️,Do [sword]<dicetotal> damage|[gray](equal to total roll)
Berlin Key,🇩🇪🔑,Set a random dice to <d6>|Return the dice
Big Moment,⬆️⏲️,Do [sword]7 damage|[gray](Reuseable)
Big Stick,⬆️🦯,Do [sword]<d6> damage[;]|on 6[;] gain [thorns]1 thorns
Blammo,🎇,Do [sword]3 damage[;] snap 3|at once to gain [fury]Fury
Blast Chiller,🌬️🧊,[ice]4 damage + [ice]1 freeze|[gray](Reuseable)
Blender,🧃🖨️,Split a dice into 1s
Blight,🤢,Double [poison] poison
Blizzard,🌨️,Do [ice]<d6> damage[;]|Freeze [ice]1 dice
Blood Cauldron,🩸🥘,Drain [heart]1 health[;]|get a new dice
Blood Let,🩸🗡️,Lose [heart]2 hp[;] then heal [heart]1
Blood Suck,🩸🥤,Drain [heart]<d6> health
Blue Ocean,🔵🌊,Do [sword]<d6> damage|(Cost [mana]2[]: heal 3)
Boomerang,🪃,Do [sword]<double> to enemy[;]|but [sword]<d6> to yourself
Boomewrong,🪃👎,Do [sword]<d6> to enemy[;]|but [sword]<double> to yourself
Boop,👈,Do [sword]2 damage
Bop,🤛,Do [sword]3 damage
Bow Wow Wow,🐺🗯️🗯️🗯️,Make unavailable cards|available[;] return dice
Boxing Gloves,🥊,Do [sword]<d6> damage[;]|on 1[;] gain [reduce]1 reduce
Breadcrumbs,🍞,Heal +[heart]1[;] add +[shield]1|[gray](Reuseable)
Broadsword,⬆[sword],Do [sword]<d6> damage
Broken Glass,💔🪟,Do [sword]2 damage for|each dice the enemy rolls
Broken Mirror,💔🪞,Next turn[;] gain +1 dice this|fight[;] and curse yourself
Broken Sword,💔[sword],Do [sword]<d6> damage[;]|more if weakened...
Bronze Cauldron,🥉🥘,Do [sword]2[;] get an odd dice|[gray](Reuseable)
Buckler,🤏[shield],Add [shield]4 to shield
Bump,➕,Dice value +1
Bumpblade,➕🗡,Do [sword]1 damage[;] get|new dice (value +1)
Burning Light,[fire]💡,Deal [fire]<d6> damage|Burn [fire]1 dice
Buster Sword,🐲[sword],Do [sword]<d6> damage[;]|immune to errors
Buzzer,🤝[shock],Inflict [shock]1 shock
Cactus Shield,🌵[shield],Add [thorns]1 thorns|[gray](Reuseable)
Cactus Spear,🌵🤺,Do [sword]<d6> damage[;]|+[sword]1 for each [thorns] thorn
Calculator,✖️,Multiply dice together[;]|do that much damage
Call for Backup Inventor,🙋🎛️🧑,Inspiration|Copy next card
Call for Backup Inventor?,🙋🎛️🧑❓,Random Access|Copy a random item|from your deck
Call for Backup Robot,🙋🤖,Slot Machine|Get random equipment
Call for Backup Robot?,🙋🤖❓,Power Surge|Add +1 to all dice|less than six
Call for Backup Thief,🙋💰🧑,Yoink|Borrow equipment
Call for Backup Thief?,🙋💰🧑❓,Black Market|Rent a powerful item|Costs [gold]1[;] you have [gold]<gold>
Call for Backup Warrior,🙋⚔️🧑,Warrior Smash|[sword]<var:bopcount> dmg[;] +1 per bop
Call for Backup Warrior?,🙋⚔️🧑❓,Warrior Charge|Add 3 to Kapow damage
Call for Backup Witch,🙋🧙‍♀,Magic Trick|Discard current hand
Call for Backup Witch?,🙋🧙‍♀❓,Multicard!|Add an extra card to|your hand (this turn)
Camouflage,🥸,Blind [blind]2 dice
Camouflage?,🥸❓,Inflict [blind]Blind for 2 turns
Campfire,🏕️[fire],[fire]<timesused> dmg[;] burn a dice|Add +[fire]1 each use
Candle,🕯️,Dice value -1[;] Lose [heart]1 hp|[gray](Reuseable)
Cannon Fire,🔫🏴‍☠,Do [fire]2 damage[;]|inflict [fire]1 burn
Capacitor,🔋,[shock]2 damage + [shock]1 shock|[gray](Reuseable)
Cardboard Sword,📦[sword],Do [sword]<cardboardsword> damage|Lose [sword]2 each use
Catastrophe,🤯,Inflict [shock] shock[;]|[fire] burn[;] and [ice] freeze
Cauldron,🥘,Do [sword]1 damage[;]|get a new dice
Chainsaw,⛓️🪚,Do [sword]<d6> damage[;] if|enemy hp is full[;] do double
Change Machine,🪙🖨️,Return four 1s
Charge!,🏃,Bash with shield[;]|do [shield]<myshield> damage
Cheat Code,🖥️🦹,Increase Jackpot|range this turn
Chef's Kiss,🧑‍🍳😘,Do [sword]<d6> damage if|this uses your final dice
Chisel,⚒️,Dice value -1[;] roll a 1 
Chocolate Cookie,🍪,Repeat next action
Chocolate Cookie?,🍪❓,Repeat next action[;] but|disable it next turn
Chorus,🎼,Roll a dice for every|[weaken]1 weaken on enemy
Claw,🐺🖐,Do [sword]<d6> damage[;]|and add [poison]1 poison
Cloak,🥼,Gain [reduce]1 reduce|[gray](Reuseable)
Cold Snap,🥶🤞,Do [sword]5 damage|(If [mana]>=2: inflict freeze)
Cold War,🥶⚔,Do [ice]5 damage|Inflict [ice]1 freeze
Cold Wind,🥶🌬,Inflict [ice]1 freeze[;]|return both dice
Combat Roll,⚔️🔄,Reroll a dice|[gray](Reuseable)
Combat Roll@jesterwarrior,⚔️🔄@🃏⚔️,Reroll a dice
Combat Spatula,⚔️🙃,Flip a dice upside down|[gray](Reuseable)
Combination Lock,🔢[lock],Do [sword]<d6> damage[;] lock|player dice that roll <d6>
Concatenate,🖥🖥️,CPU counter +<d6>
Concentration,🤔,In [jinx]<d6> turns[;]|recover <double> health
Cooling Fan,🌬🖨️,Reduce CPU by half
Copper Shield,🔴[shield],Add [shield]<double> shield|[gray](once per battle)
Cornucopia ,🎺🥗,Gain a random blessing
Counter Spell,⛔🪄,If enemy rolls <d6>[;]|that dice is locked
Counterfeit,[dice]➕,Duplicate a dice
Cowbell,🐄🔔,Inflict [weaken]1 weaken|[gray](Reuseable)
Crescent Moon Blade,🌙🗡,[90%]Even turns: [sword]<eventurn_d6> damage|[90%]Odd turns: [shield]<oddturn_d6> shield
Crossbow,🏹,Do [sword]9 damage
Crowbar,➖🧮,Reduce the countdowns|on all equipment by <d6>
Crucible,🥣,Roll a burning dice|[gray](Reuseable)
Crystal Sword,💎[sword],Do [sword]<triple> damage|[gray](once per battle)
Crystallize,➕💎,Create a random|crystal weapon
Custard Pie,🥧🤦,Blind 2 dice[;] then|return the dice
Daffodil,🏵️,Dice value -1|(At start of turn: get [mana]1)
Dagger,🗡,Do [sword]<d6> damage|[gray](Reuseable)
Dark Shadow,⚫👤,Do [sword]<d6> damage[;]|add 2x random status
Dark Shadow@versusladyluck,⚫👤@👩🍀,Do [sword]<d6> damage[;]|add 2x random status
Deep Sea Howl,🦑🗣️,Curse enemy
Deflect,↩️,Block [shield]2 damage
Delete,🗑️,Permanently delete the|first card in your hand
Determination,😬,Do [sword]4 damage[;]|add random status
Detonator,🕹️,Do [sword]1 damage for|every [poison]1 on enemy
Dexterity Charm,🛠🪄️,All equipment is|reuseable this turn
Dice Cannon,[dice]🔫,Do [sword]1 damage|[gray](Reuseable)
Dice Detonator,[dice]🕹️,Do [sword]<var_tempdicedetonator:throwndicecount> damage|([sword]2 per dice thrown)
Dire Wolf Howl,🐺🗣️,Curse Enemy|[gray](items might fail)
Disco Ball,🕺,Get +1 dice next turn|if the enemy rolls a <d6>
Disco Ball?,🕺❓,Get an extra <d6> next turn|if the enemy rolls a <d6>
Divine Axe,😇🪓,Do [sword]<triple> damage[;] if|enemy has any shield[;] miss
Divine Dagger,😇🗡,[sword]<timesused> dmg[;] +[sword]1 each use|[gray](Reuseable)
Divine Hammer,😇🔨,Do [shock]<double> damage[;]|[shock]Shock all equipment
Divine Megaphone,😇📣,Do [weaken]<double> damage[;]|[weaken]Weaken all equipment
Divine Rod,😇🦯,Reduce health to [heart]1
Divine Sword,😇[sword],Do [sword]<d6> damage[;] if|enemy hp is full[;] do double
Dodge,[dodge],Dodge next attack
Dodge?,[dodge]❓,50% chance to dodge|the next attack
Doppeldice,2[dice],Double dice value
Doppeltwice,2[dice]2,Double dice value|[gray](Reuseable)
Double Edge,🪀⚔️,Do [sword]<d6> damage|to both enemy and you
Dragon's Tooth,🐲🦷,Do [sword]<triple> damage
Dramatic Entrance,🙌🚶🚪,At the start of the first|turn[;] gain [fury]Fury
Dramatic Exit,🙌🚪🚶,Do [sword]1. If this is the final|blow[;] gain [heal] 2 max hp
Duplicate,[dice][dice],Duplicate a dice
Dust Cloud,🏃💨,Do [sword]<d6> damage[;]|on 6[;] blind [blind]2 dice
Earth Crystal,[weaken]💎,Do [weaken]<d6> damage|[weaken]Weakens enemy
Earth Spell,[weaken]🪄,Deal [weaken]5 damage|Weaken [weaken]2 equipment
Earthquake,🌍💢,Weaken [weaken]3 equipment[;]|do [weaken]6 damage
Earthquake?,🌍💢❓,Inflict [weaken]3 weaken[;] then|do [weaken]6 damage
Echo,↪️,Do [weaken]<d6> damage[;]|Inflict [weaken]3 weaken
Echo Blast,↪️🔊,Do [weaken]<d6> damage|[]+[weaken]2 weaken
Echo Blast?,↪️🔊❓,Inflict [weaken]2 weaken[;] then|do [weaken]<d6> damage
Elastic Heart,💗,Do [sword]<d6> damage[;]|recover [heal]1 health
Electric Shock,[shock]😧,Do [shock]<d6> damage[;]|[]+[shock]1 shock
Electric Whip,[shock]💣,Do [shock]<d6> damage[;]|shock yourself
Electromagnet,🧲,Do [sword]<twicetimesused> damage|Add +2 each use
Enchanted Bolt,🔮🌩️,Do [sword]4 damage|(At start of turn: Do [sword]3)
Enchanted Shield,🔮[shield],Add [shield]<d6> shield|(Cost [mana]2[]: +[shield]<d6> shield)
Encore,⏭🔁,Take an extra turn|[gray](once per battle)
Encyclopedia,📚,Get a temporary gadget|[gray](once per battle)
Evil Laugh,😈🤣,Do [sword]<d6> damage[;]|double if enemy is cursed
Executioner's Axe,💀🪓,Do [sword]<double> damage|(At the start of your turn[;]|haunt [haunted]2 dice)
Fade,🥀,Do [sword]<d6> damage[;]|Inflict [vanish]Vanish
Finders Keepers,👀📥,After the battle[;] keep|one piece of equipment
Fire Age,[fire]🗓️,Burn all dice
Fire Breath,[fire]🌬️,Do [fire]4 damage|Burn [fire]1 dice
Fire Crystal,[fire]💎,Deal [fire]<d6> damage|Burn [fire]1 dice
Fire Potion,[fire]🧪,[fire]8 damage[;] burn all dice|[gray](once per battle)
Fireball,[fire]💥,Deal [fire]<d6> damage|Burn [fire]1 dice
Fireworks,🎆,Do [sword]1 damage for|each status inflicted
First Aid Kit,⛑️,Heal [heal]8 health
Fishing Net,🎣,Do [sword]<d6> damage[;]|lock [lock]1 dice on 3
Fists,🤛🤜,Do [sword]3 damage|[gray](Reuseable)
Fixed Payout,🙋🎉,Use an additional|Jackpot ability
Flame Blast,[fire]🌬️,Do [fire]6 damage for|each burning enemy dice
Flame Shatter,[fire]💔,Do [fire]<d6> damage[;]|+[fire]3 if enemy is burnt
Flame Spell,[fire]🪄,Deal [fire]5 damage|Burn [fire]2 dice
Flame War,[fire]⚔,Do [fire]5 damage|Burn [fire]1 dice
Flamethrower,[fire]🔫,[fire]<d6> dmg[;] +[fire]2 burn|[gray](once per battle)
Flaming Sword,[fire]🗡️,Do [fire]<d6> damage[;] +[fire]2 burn|([fire]Burn[] yourself each turn)
Flight,🪶,Dodge next attack
Flight?,🪶❓,50% chance to dodge|the next attack
Flower Pot,🪴,Get a new dice[;]|on 4[;] gain [mana]1 mana
Flying Skull,🥏💀,Do [sword]<d6> damage[;]|on 6[;] inflict [curse]Curse
Fool's Fire,🤡[fire],Inflict [vanish]Vanish
Fool's Frost,🤡[ice],Inflict [vanish]Vanish
Forcefield,🌬️[shield],Add [shield]<dicerolled> shield[;]|add [shield]1 each roll
Forge,🧱🔨,Permanently upgrade the|first card in your hand|[gray](once per battle)
Fortify,🏰,Increase [shield] shield|by 50 percent
Four Handed Sword,[sword][sword][sword][sword],Do [sword]<d6> damage
Four Leaf Clover,🍀,Double the success odds|of chance based items
Free Spin,💲0🎰,Change jackpot abilities|[gray](Reuseable)
Freeze Spell,🧊🪄,Deal [ice]5 damage|Freeze [ice]2 dice
Freeze Spell?,🧊🪄❓,Deal [ice]5 damage|Inflict [ice]2 freeze
Frogsword,🐸[sword],Do [sword]<d6> damage
Front Line,⚔️⚔️⚔️,Lose [heart]3 health[;] gain|[shield]3 shield[;] return the dice
Frozen Sword,🧊[sword],Do [ice]<d6> dmg[;] +[ice]2 freeze|([ice]Freeze[] yourself at the|start of each turn)
Fruit Bowl,🍍🍲,Do [sword]1 damage[;] reroll dice|(Cost [mana]1[]: return two dice)
Furnace,🧱[fire],[fire]4 damage + [fire]1 burn|[gray](Reuseable)
Fury Spell,[fury]🪄,Repeat next action
Gemstone Staff,💎🦯,Do [ice]6 damage|Freeze [ice]1 dice
Gemstone Staff?,💎🦯❓,Do [ice]6 damage|Inflict [ice]1 freeze
Giant Spatula,⬆️🙃,Flip all your dice|upside down
Gladioli,🌼,Do [sword]<d6> damage[;]|gain [mana]2 mana on 2 or less
Glare,👀,Lock [lock]1 dice|[gray](Reuseable)
Glass Cauldron,🪟🥘,Freeze [ice]1 dice[;]|roll a one
Glue,[lock],Lock [lock]1 dice|[gray](Reuseable)
Gold Cauldron,🥇🥘,Do [sword]1 damage[;]|get an even dice
Gold Dagger,🥇🗡,Do [sword]<d6> damage[;]|if even[;] get a new dice
Gong,🔔🔨,Do [sword]4 damage per [weaken]1|Enemy loses all weaken
Grand Finale,⬆️⏭,Do [sword]15 damage
Grindstone,🛹🪨,Increase all equipment|durability by 1
Gumball Machine,🍬🖨️,Recover [heal]1 health[;]|get a new dice
Hacksaw,🪚,Split a dice in three
